Year,timeseries,COMMENT_OBS,Value
2010,population covered by health insurance,p,
2011,population covered by health insurance,p,99.8
2012,population covered by health insurance,p,
2013,population covered by health insurance,p,
2014,population covered by health insurance,p,
2015,population covered by health insurance,p,99.9
2016,population covered by health insurance,p,
2017,population covered by health insurance,p,
2018,population covered by health insurance,p,
2019,population covered by health insurance,p,99.9
2020,population covered by health insurance,p,
2021,population covered by health insurance,p,
2022,population covered by health insurance,p,
2023,population covered by health insurance,s,
2010,unemployed persons with unemployment benefits,p,95.3
2011,unemployed persons with unemployment benefits,p,94.5
2012,unemployed persons with unemployment benefits,p,94.8
2013,unemployed persons with unemployment benefits,p,95.1
2014,unemployed persons with unemployment benefits,p,95.1
2015,unemployed persons with unemployment benefits,p,95.6
2016,unemployed persons with unemployment benefits,p,95.1
2017,unemployed persons with unemployment benefits,p,94.9
2018,unemployed persons with unemployment benefits,p,95.4
2019,unemployed persons with unemployment benefits,p,96.1
2020,unemployed persons with unemployment benefits,p,96.4
2021,unemployed persons with unemployment benefits,p,94.9
2022,unemployed persons with unemployment benefits,p,94.7
2023,unemployed persons with unemployment benefits,p,95.0
