Year,Value,Units,Series
2010,1,"yes=1, no=0",(1) contracting party to the pgrfa
2011,1,"yes=1, no=0",(1) contracting party to the pgrfa
2012,1,"yes=1, no=0",(1) contracting party to the pgrfa
2013,1,"yes=1, no=0",(1) contracting party to the pgrfa
2014,1,"yes=1, no=0",(1) contracting party to the pgrfa
2015,1,"yes=1, no=0",(1) contracting party to the pgrfa
2016,1,"yes=1, no=0",(1) contracting party to the pgrfa
2017,1,"yes=1, no=0",(1) contracting party to the pgrfa
2018,1,"yes=1, no=0",(1) contracting party to the pgrfa
2019,1,"yes=1, no=0",(1) contracting party to the pgrfa
2020,1,"yes=1, no=0",(1) contracting party to the pgrfa
2021,1,"yes=1, no=0",(1) contracting party to the pgrfa
2022,1,"yes=1, no=0",(1) contracting party to the pgrfa
2023,1,"yes=1, no=0",(1) contracting party to the pgrfa
2024,1,"yes=1, no=0",(1) contracting party to the pgrfa
2025,1,"yes=1, no=0",(1) contracting party to the pgrfa
2026,1,"yes=1, no=0",(1) contracting party to the pgrfa
2010,0,"yes=1, no=0",(2) contracting party to the nagoya protocol
2011,0,"yes=1, no=0",(2) contracting party to the nagoya protocol
2012,0,"yes=1, no=0",(2) contracting party to the nagoya protocol
2013,0,"yes=1, no=0",(2) contracting party to the nagoya protocol
2014,0,"yes=1, no=0",(2) contracting party to the nagoya protocol
2015,0,"yes=1, no=0",(2) contracting party to the nagoya protocol
2016,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2017,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2018,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2019,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2020,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2021,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2022,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2023,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2024,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2025,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2026,1,"yes=1, no=0",(2) contracting party to the nagoya protocol
2010,0,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2011,0,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2012,0,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2013,0,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2014,0,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2015,0,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2016,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2017,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2018,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2019,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2020,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2021,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2022,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2023,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2024,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2025,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2026,1,"yes=1, no=0",(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa
2010,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2011,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2012,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2013,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2014,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2015,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2016,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2017,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2018,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2019,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2020,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2021,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2022,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2023,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2024,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2025,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2026,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
