Year,Value,Units,Series
2010,1156.0,million tonnes,raw material consumption (rmc)
2011,1249.0,million tonnes,raw material consumption (rmc)
2012,1181.0,million tonnes,raw material consumption (rmc)
2013,1182.0,million tonnes,raw material consumption (rmc)
2014,1187.0,million tonnes,raw material consumption (rmc)
2015,1144.0,million tonnes,raw material consumption (rmc)
2016,1189.0,million tonnes,raw material consumption (rmc)
2017,1223.0,million tonnes,raw material consumption (rmc)
2018,1247.0,million tonnes,raw material consumption (rmc)
2019,1230.0,million tonnes,raw material consumption (rmc)
2020,1145.0,million tonnes,raw material consumption (rmc)
2021,1320.0,million tonnes,raw material consumption (rmc)
2022,1318.0,million tonnes,raw material consumption (rmc)
2010,14.4,tonnes per capita,raw material consumption (rmc)
2011,15.6,tonnes per capita,raw material consumption (rmc)
2012,14.7,tonnes per capita,raw material consumption (rmc)
2013,14.7,tonnes per capita,raw material consumption (rmc)
2014,14.7,tonnes per capita,raw material consumption (rmc)
2015,14.1,tonnes per capita,raw material consumption (rmc)
2016,14.5,tonnes per capita,raw material consumption (rmc)
2017,14.9,tonnes per capita,raw material consumption (rmc)
2018,15.2,tonnes per capita,raw material consumption (rmc)
2019,15.0,tonnes per capita,raw material consumption (rmc)
2020,13.9,tonnes per capita,raw material consumption (rmc)
2021,16.1,tonnes per capita,raw material consumption (rmc)
2022,16.0,tonnes per capita,raw material consumption (rmc)
2010,110.2,2020 = 100,raw material consumption per real gdp
2011,114.8,2020 = 100,raw material consumption per real gdp
2012,110.7,2020 = 100,raw material consumption per real gdp
2013,107.8,2020 = 100,raw material consumption per real gdp
2014,106.5,2020 = 100,raw material consumption per real gdp
2015,101.0,2020 = 100,raw material consumption per real gdp
2017,102.0,2020 = 100,raw material consumption per real gdp
2019,100.2,2020 = 100,raw material consumption per real gdp
2020,100.0,2020 = 100,raw material consumption per real gdp
2021,98.8,2020 = 100,raw material consumption per real gdp
