Year,Value,Units
2010,42281.8,"mn usd, constant prices (2020)"
2011,53785.1,"mn usd, constant prices (2020)"
2012,35412.5,"mn usd, constant prices (2020)"
2013,51423.9,"mn usd, constant prices (2020)"
2014,50425.3,"mn usd, constant prices (2020)"
2015,53207.4,"mn usd, constant prices (2020)"
2016,54410.7,"mn usd, constant prices (2020)"
2017,57435.5,"mn usd, constant prices (2020)"
2018,52040.5,"mn usd, constant prices (2020)"
2019,43633.9,"mn usd, constant prices (2020)"
2020,44700.6,"mn usd, constant prices (2020)"
2010,31435.7,mn eur
2011,40420.7,mn eur
2012,27009.7,mn eur
2013,39992.0,mn eur
2014,39948.5,mn eur
2015,42935.5,mn eur
2016,44490.3,mn eur
2017,47671.3,mn eur
2018,44045.6,mn eur
2019,37691.1,mn eur
2020,39224.8,mn eur
