Disaggregation,en,Number of indicators,Number of values
Aktivitäten,Activities,1,5
Alter der Mutter,Age of mother,1,2
Altersklasse,Age group,14,26
Rechtsgebiet,Area of law,1,4
Klassifikation,Classification,1,4
Umrechnung,Conversion,1,2
Behinderungsstatus,Disability status,1,1
Wirtschaftszweig,Economic sector,2,5
Ausbildungsgrad,Education level,1,2
Ausstattung,Facilities,1,4
Indikator,Indicator,1,3
Probleme,Items,1,5
Leistungsniveau,Level of proficiency,1,2
Gefährdungskategorie,Level of risk of extinction,1,5
Nutzung der Wasserressourcen,Level of waterstress,1,2
Verkehrsträger,Mode of transport,1,6
Beruf,Profession,1,4
Region,Region,3,16
Meer,Sea,1,2
Sektor,Sector,1,2
Geschlecht,Sex,22,4
Fähigkeit,Skill,1,2
Geschwindigkeit,Speed,1,5
Fach,Subject,1,2
Substanz,Substance,1,2
Technologie,Technology,1,2
Zeitreihe,Time series,101,187
Behandlung,Treatment,1,2
Kontoart,Type of account,1,2
Art der Erkrankung,Type of disease,2,7
Art der Finanzströme,Type of flow,1,5
Art der Abfallbehandlung,Type of waste treatment,1,4
Art des Abwassers,Type of waste water,1,2
Abfallart,Type of waste,1,2
Art des Gewässers,Type of water body,1,2
