Year,Units,Time series,Type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2007,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2008,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2009,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2010,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2011,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2012,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2013,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2014,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2015,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2016,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2017,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2018,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2019,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2020,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2021,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2022,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2023,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2024,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2025,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2026,"yes=1, no=0",,,,,,(1) Contracting Party to the PGRFA,1.0
2007,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,
2008,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,
2009,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,
2010,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,0.0
2011,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,0.0
2012,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,0.0
2013,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,0.0
2014,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,0.0
2015,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,0.0
2016,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2017,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2018,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2019,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2020,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2021,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2022,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2023,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2024,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2025,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2026,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2007,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,
2008,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,
2009,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,
2010,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,0.0
2011,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,0.0
2012,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,0.0
2013,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,0.0
2014,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,0.0
2015,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,0.0
2016,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2017,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2018,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2019,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2020,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2021,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2022,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2023,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2024,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2025,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2026,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the PGRFA,1.0
2007,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2008,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2009,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2010,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2011,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2012,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2013,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2014,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2015,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
