Year,Units,Zeitreihe,Value
2010,Millionen EUR,Zusagen (ODA and OOF),3345.1
2011,Millionen EUR,Zusagen (ODA and OOF),2681.9
2012,Millionen EUR,Zusagen (ODA and OOF),2591.8
2013,Millionen EUR,Zusagen (ODA and OOF),3778.8
2014,Millionen EUR,Zusagen (ODA and OOF),5803.2
2015,Millionen EUR,Zusagen (ODA and OOF),5074.6
2016,Millionen EUR,Zusagen (ODA and OOF),5323.7
2017,Millionen EUR,Zusagen (ODA and OOF),5053.4
2018,Millionen EUR,Zusagen (ODA and OOF),5160.6
2019,Millionen EUR,Zusagen (ODA and OOF),6063.6
2020,Millionen EUR,Zusagen (ODA and OOF),6911.9
2021,Millionen EUR,Zusagen (ODA and OOF),6205.6
2022,Millionen EUR,Zusagen (ODA and OOF),7222.2
2010,Millionen EUR,Bruttoausgaben (ODA und OOF),2280.2
2011,Millionen EUR,Bruttoausgaben (ODA und OOF),2198.3
2012,Millionen EUR,Bruttoausgaben (ODA und OOF),1922.8
2013,Millionen EUR,Bruttoausgaben (ODA und OOF),2589.4
2014,Millionen EUR,Bruttoausgaben (ODA und OOF),3438.9
2015,Millionen EUR,Bruttoausgaben (ODA und OOF),4476.5
2016,Millionen EUR,Bruttoausgaben (ODA und OOF),4030.8
2017,Millionen EUR,Bruttoausgaben (ODA und OOF),4011.8
2018,Millionen EUR,Bruttoausgaben (ODA und OOF),3951.5
2019,Millionen EUR,Bruttoausgaben (ODA und OOF),4389.7
2020,Millionen EUR,Bruttoausgaben (ODA und OOF),5039.1
2021,Millionen EUR,Bruttoausgaben (ODA und OOF),4945.3
2022,Millionen EUR,Bruttoausgaben (ODA und OOF),5907.6
2010,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),4826.6
2011,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),3828.3
2012,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),3645.4
2013,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),5212.6
2014,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),7858.1
2015,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),6746.3
2016,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),6984.5
2017,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),6531.6
2018,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),6539.0
2019,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),7523.4
2020,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),8423.8
2021,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),7338.7
2022,"Millionen USD, konstante Preise (2021)",Zusagen (ODA and OOF),8080.8
2010,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),3290.2
2011,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),3137.9
2012,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),2704.5
2013,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),3571.8
2014,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),4656.6
2015,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),5951.2
2016,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),5288.3
2017,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),5185.3
2018,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),5007.1
2019,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),5446.4
2020,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),6141.3
2021,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),5848.3
2022,"Millionen USD, konstante Preise (2021)",Bruttoausgaben (ODA und OOF),6609.9
