Year,Zeitreihe,Verfügbarkeit,Value
2010,population with (own) toilet,Ja,98.4
2011,population with (own) toilet,Ja,99.1
2012,population with (own) toilet,Ja,99.1
2013,population with (own) toilet,Ja,99.9
2014,population with (own) toilet,Ja,100.0
2015,population with (own) toilet,Ja,99.9
2016,population with (own) toilet,Ja,99.9
2017,population with (own) toilet,Ja,99.9
2018,population with (own) toilet,Ja,100.0
2019,population with (own) toilet,Ja,99.8
2010,population with (own) bathtub or shower,Ja,99.5
2011,population with (own) bathtub or shower,Ja,99.9
2012,population with (own) bathtub or shower,Ja,99.9
2013,population with (own) bathtub or shower,Ja,100.0
2014,population with (own) bathtub or shower,Ja,100.0
2015,population with (own) bathtub or shower,Ja,100.0
2016,population with (own) bathtub or shower,Ja,100.0
2017,population with (own) bathtub or shower,Ja,100.0
2018,population with (own) bathtub or shower,Ja,100.0
2019,population with (own) bathtub or shower,Ja,100.0
2010,population with (own) toilet,Nein,1.6
2011,population with (own) toilet,Nein,0.9
2012,population with (own) toilet,Nein,0.9
2013,population with (own) toilet,Nein,0.1
2014,population with (own) toilet,Nein,0.0
2015,population with (own) toilet,Nein,0.1
2016,population with (own) toilet,Nein,0.1
2017,population with (own) toilet,Nein,0.1
2018,population with (own) toilet,Nein,0.0
2019,population with (own) toilet,Nein,0.2
2010,population with (own) bathtub or shower,Nein,0.5
2011,population with (own) bathtub or shower,Nein,0.1
2012,population with (own) bathtub or shower,Nein,0.1
2013,population with (own) bathtub or shower,Nein,0.0
2014,population with (own) bathtub or shower,Nein,0.0
2015,population with (own) bathtub or shower,Nein,0.0
2016,population with (own) bathtub or shower,Nein,0.0
2017,population with (own) bathtub or shower,Nein,0.0
2018,population with (own) bathtub or shower,Nein,0.0
2019,population with (own) bathtub or shower,Nein,0.0
