Year,Units,Art der Empfänger/Bereitsteller,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,"ja=1, nein=0",,,,,,1
2011,"ja=1, nein=0",,,,,,1
2012,"ja=1, nein=0",,,,,,1
2013,"ja=1, nein=0",,,,,,1
2014,"ja=1, nein=0",,,,,,1
2015,"ja=1, nein=0",,,,,,1
2016,"ja=1, nein=0",,,,,,1
2017,"ja=1, nein=0",,,,,,1
2018,"ja=1, nein=0",,,,,,1
2019,"ja=1, nein=0",,,,,,1
2020,"ja=1, nein=0",,,,,,1
2021,"ja=1, nein=0",,,,,,1
2022,"ja=1, nein=0",,,,,,1
2023,"ja=1, nein=0",,,,,,1
2024,"ja=1, nein=0",,,,,,1
2025,"ja=1, nein=0",,,,,,1
2026,"ja=1, nein=0",,,,,,1
2010,"ja=1, nein=0",,,,,,0
2011,"ja=1, nein=0",,,,,,0
2012,"ja=1, nein=0",,,,,,0
2013,"ja=1, nein=0",,,,,,0
2014,"ja=1, nein=0",,,,,,0
2015,"ja=1, nein=0",,,,,,0
2016,"ja=1, nein=0",,,,,,1
2017,"ja=1, nein=0",,,,,,1
2018,"ja=1, nein=0",,,,,,1
2019,"ja=1, nein=0",,,,,,1
2020,"ja=1, nein=0",,,,,,1
2021,"ja=1, nein=0",,,,,,1
2022,"ja=1, nein=0",,,,,,1
2023,"ja=1, nein=0",,,,,,1
2024,"ja=1, nein=0",,,,,,1
2025,"ja=1, nein=0",,,,,,1
2026,"ja=1, nein=0",,,,,,1
2010,"ja=1, nein=0",,,,,,0
2011,"ja=1, nein=0",,,,,,0
2012,"ja=1, nein=0",,,,,,0
2013,"ja=1, nein=0",,,,,,0
2014,"ja=1, nein=0",,,,,,0
2015,"ja=1, nein=0",,,,,,0
2016,"ja=1, nein=0",,,,,,1
2017,"ja=1, nein=0",,,,,,1
2018,"ja=1, nein=0",,,,,,1
2019,"ja=1, nein=0",,,,,,1
2020,"ja=1, nein=0",,,,,,1
2021,"ja=1, nein=0",,,,,,1
2022,"ja=1, nein=0",,,,,,1
2023,"ja=1, nein=0",,,,,,1
2024,"ja=1, nein=0",,,,,,1
2025,"ja=1, nein=0",,,,,,1
2026,"ja=1, nein=0",,,,,,1
2010,"ja=1, nein=0",,,,,,1
2011,"ja=1, nein=0",,,,,,1
2012,"ja=1, nein=0",,,,,,1
2013,"ja=1, nein=0",,,,,,1
2014,"ja=1, nein=0",,,,,,1
2015,"ja=1, nein=0",,,,,,1
2016,"ja=1, nein=0",,,,,,1
2017,"ja=1, nein=0",,,,,,1
2018,"ja=1, nein=0",,,,,,1
2019,"ja=1, nein=0",,,,,,1
2020,"ja=1, nein=0",,,,,,1
2021,"ja=1, nein=0",,,,,,1
2022,"ja=1, nein=0",,,,,,1
2023,"ja=1, nein=0",,,,,,1
2024,"ja=1, nein=0",,,,,,1
2025,"ja=1, nein=0",,,,,,1
2026,"ja=1, nein=0",,,,,,1
2010,Kumulierte Anzahl,,,,,smta received by germany,1495
2011,Kumulierte Anzahl,,,,,smta received by germany,2687
2012,Kumulierte Anzahl,,,,,smta received by germany,3916
2013,Kumulierte Anzahl,,,,,smta received by germany,5034
2014,Kumulierte Anzahl,,,,,smta received by germany,6089
2015,Kumulierte Anzahl,,,,,smta received by germany,7311
2016,Kumulierte Anzahl,,,,,smta received by germany,8367
2017,Kumulierte Anzahl,,,,,smta received by germany,8754
2018,Kumulierte Anzahl,,,,,smta received by germany,9153
2019,Kumulierte Anzahl,,,,,smta received by germany,9518
2020,Kumulierte Anzahl,,,,,smta received by germany,9903
2021,Kumulierte Anzahl,,,,,smta received by germany,10564
2022,Kumulierte Anzahl,,,,,smta received by germany,11398
2023,Kumulierte Anzahl,,,,,smta received by germany,13261
2024,Kumulierte Anzahl,,,,,smta received by germany,15195
2025,Kumulierte Anzahl,,,,,smta received by germany,16574
2026,Kumulierte Anzahl,,p,,,smta received by germany,16677
2010,Kumulierte Anzahl,Handelsgesellschaften,‒,,,smta received by germany,0
2011,Kumulierte Anzahl,Handelsgesellschaften,‒,,,smta received by germany,0
2012,Kumulierte Anzahl,Handelsgesellschaften,‒,,,smta received by germany,0
2013,Kumulierte Anzahl,Handelsgesellschaften,‒,,,smta received by germany,0
2014,Kumulierte Anzahl,Handelsgesellschaften,‒,,,smta received by germany,0
2015,Kumulierte Anzahl,Handelsgesellschaften,‒,,,smta received by germany,0
2016,Kumulierte Anzahl,Handelsgesellschaften,,,,smta received by germany,5
2017,Kumulierte Anzahl,Handelsgesellschaften,,,,smta received by germany,6
2018,Kumulierte Anzahl,Handelsgesellschaften,,,,smta received by germany,19
2019,Kumulierte Anzahl,Handelsgesellschaften,,,,smta received by germany,30
2020,Kumulierte Anzahl,Handelsgesellschaften,,,,smta received by germany,38
2021,Kumulierte Anzahl,Handelsgesellschaften,,,,smta received by germany,38
2022,Kumulierte Anzahl,Handelsgesellschaften,,,,smta received by germany,38
