Year,Time series,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,a) Population who were exposed to physical violence,,,,,,2.7
2017,a) Population who were exposed to physical violence,,,,,,3.0
2020,a) Population who were exposed to physical violence,,,|,,,2.0
2012,a) Population who were exposed to physical violence,16 to under 25 years,,,,,10.1
2017,a) Population who were exposed to physical violence,16 to under 25 years,,,,,10.4
2020,a) Population who were exposed to physical violence,16 to under 25 years,,|,,,4.6
2012,a) Population who were exposed to physical violence,25 to under 35 years,,,,,0.4
2017,a) Population who were exposed to physical violence,25 to under 35 years,,,,,4.6
2020,a) Population who were exposed to physical violence,25 to under 35 years,,|,,,3.5
2012,a) Population who were exposed to physical violence,35 to under 45 years,,,,,2.4
2017,a) Population who were exposed to physical violence,35 to under 45 years,,,,,2.8
2020,a) Population who were exposed to physical violence,35 to under 45 years,,|,,,2.0
2012,a) Population who were exposed to physical violence,45 to under 55 years,,,,,1.9
2017,a) Population who were exposed to physical violence,45 to under 55 years,,,,,2.3
2020,a) Population who were exposed to physical violence,45 to under 55 years,,|,,,1.4
2012,a) Population who were exposed to physical violence,55 to under 65 years,,,,,0.6
2017,a) Population who were exposed to physical violence,55 to under 65 years,,,,,1.4
2020,a) Population who were exposed to physical violence,55 to under 65 years,,|,,,1.2
2017,a) Population who were exposed to physical violence,65 to under 75 years,,,,,0.6
2020,a) Population who were exposed to physical violence,65 to under 75 years,,|,,,1.0
2017,a) Population who were exposed to physical violence,75 years and older,,,,,0.2
2020,a) Population who were exposed to physical violence,75 years and older,,|,,,0.9
2012,a) Population who were exposed to physical violence,,Female,,,,1.5
2017,a) Population who were exposed to physical violence,,Female,,,,2.0
2020,a) Population who were exposed to physical violence,,Female,|,,,1.3
2012,a) Population who were exposed to physical violence,,Male,,,,4.0
2017,a) Population who were exposed to physical violence,,Male,,,,4.0
2020,a) Population who were exposed to physical violence,,Male,|,,,2.8
2020,c) Population who were exposed to sexual violence,,,,,,3.7
2020,c) Population who were exposed to sexual violence,16 to under 25 years,,,,,14.6
2020,c) Population who were exposed to sexual violence,25 to under 35 years,,,,,6.8
2020,c) Population who were exposed to sexual violence,35 to under 45 years,,,,,2.8
2020,c) Population who were exposed to sexual violence,45 to under 55 years,,,,,1.5
2020,c) Population who were exposed to sexual violence,55 to under 65 years,,,,,0.5
2020,c) Population who were exposed to sexual violence,65 to under 75 years,,,,,1.0
2020,c) Population who were exposed to sexual violence,75 years and older,,,,,0.1
2020,c) Population who were exposed to sexual violence,,Female,,,,6.0
2020,c) Population who were exposed to sexual violence,,Male,,,,1.1
2020,b) Population who were exposed to psychological violence,,,,,,7.2
2020,b) Population who were exposed to psychological violence,,Female,,,,6.0
2020,b) Population who were exposed to psychological violence,,Male,,,,7.6
