Year,Value,Units
2010,1843746.11618612,Millionen EUR
2011,1674672.2601185,Millionen EUR
2012,1386991.213624,Millionen EUR
2013,1811872.08972479,Millionen EUR
2014,1458813.71419287,Millionen EUR
2015,2833761.59004032,Millionen EUR
2016,2966757.53643049,Millionen EUR
2017,2713248.52950291,Millionen EUR
2018,3167488.61022332,Millionen EUR
2019,3314917.17814391,Millionen EUR
2020,3238016.99825095,Millionen EUR
2021,2744003.27899115,Millionen EUR
2022,3552677.72316878,Millionen EUR
2023,3697409.9876384,Millionen EUR
2024,4729369.58626046,Millionen EUR
