Year,Value,Series
2010,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2011,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2012,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2013,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2014,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2015,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2016,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2017,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2018,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2019,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2020,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2021,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2022,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2023,1.0,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2010,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2011,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2012,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2013,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2014,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2015,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2016,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2017,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2018,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2019,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2020,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2021,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2022,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2023,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2021,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2022,1.0,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2023,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
