Year,Domain,Value
2018,,2
2020,,3
2018,Domain 1. Migrant rights,3
2020,Domain 1. Migrant rights,3
2018,Domain 2. Whole-of-government/ Evidence-based policies,3
2020,Domain 2. Whole-of-government/ Evidence-based policies,3
2018,Domain 3. Cooperation and partnerships,4
2020,Domain 3. Cooperation and partnerships,4
2018,Domain 4. Socioeconomic well-being,3
2020,Domain 4. Socioeconomic well-being,4
2018,Domain 5. Mobility dimensions of crises,1
2020,Domain 5. Mobility dimensions of crises,3
2018,"Domain 6. Safe, orderly and regular migration",4
2020,"Domain 6. Safe, orderly and regular migration",4
