Year,Units,timeseries,Value,dcmplc
2010,%,manufacturing gross value added as a proportion of gdp,20.0,1
2011,%,manufacturing gross value added as a proportion of gdp,20.6,1
2012,%,manufacturing gross value added as a proportion of gdp,20.4,1
2013,%,manufacturing gross value added as a proportion of gdp,20.2,1
2014,%,manufacturing gross value added as a proportion of gdp,20.5,1
2015,%,manufacturing gross value added as a proportion of gdp,20.7,1
2016,%,manufacturing gross value added as a proportion of gdp,21.1,1
2017,%,manufacturing gross value added as a proportion of gdp,21.1,1
2018,%,manufacturing gross value added as a proportion of gdp,20.8,1
2010,%,manufacturing gross value added as a proportion of total gross value added,22.2,1
2011,%,manufacturing gross value added as a proportion of total gross value added,22.9,2
2012,%,manufacturing gross value added as a proportion of total gross value added,22.7,1
2013,%,manufacturing gross value added as a proportion of total gross value added,22.4,2
2014,%,manufacturing gross value added as a proportion of total gross value added,22.7,1
2015,%,manufacturing gross value added as a proportion of total gross value added,23.0,2
2016,%,manufacturing gross value added as a proportion of total gross value added,23.4,1
2017,%,manufacturing gross value added as a proportion of total gross value added,23.4,2
2018,%,manufacturing gross value added as a proportion of total gross value added,23.1,1
2010,eur,manufacturing gross value added per capita,6417.0,0
2011,eur,manufacturing gross value added per capita,6926.0,0
2012,eur,manufacturing gross value added per capita,7004.0,0
2013,eur,manufacturing gross value added per capita,7073.0,0
2014,eur,manufacturing gross value added per capita,7427.0,0
2015,eur,manufacturing gross value added per capita,7721.0,0
2016,eur,manufacturing gross value added per capita,8091.0,0
2017,eur,manufacturing gross value added per capita,8350.0,0
2018,eur,manufacturing gross value added per capita,8507.0,0
