Year,Units,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series
2010,percentage,19.4,,,,manufacturing gross value added as a proportion of gdp
2011,percentage,20.1,,,,manufacturing gross value added as a proportion of gdp
2012,percentage,20.1,,,,manufacturing gross value added as a proportion of gdp
2013,percentage,19.8,,,,manufacturing gross value added as a proportion of gdp
2014,percentage,20.1,,,,manufacturing gross value added as a proportion of gdp
2015,percentage,20.2,,,,manufacturing gross value added as a proportion of gdp
2016,percentage,20.4,,,,manufacturing gross value added as a proportion of gdp
2017,percentage,20.2,,,,manufacturing gross value added as a proportion of gdp
2018,percentage,19.9,,,,manufacturing gross value added as a proportion of gdp
2019,percentage,19.4,,,,manufacturing gross value added as a proportion of gdp
2020,percentage,18.6,,,,manufacturing gross value added as a proportion of gdp
2021,percentage,18.7,p,,,manufacturing gross value added as a proportion of gdp
2022,percentage,18.3,p,,,manufacturing gross value added as a proportion of gdp
2023,percentage,18.5,p,,,manufacturing gross value added as a proportion of gdp
2024,percentage,17.8,p,,,manufacturing gross value added as a proportion of gdp
2010,percentage,21.7,,,,manufacturing gross value added as a proportion of total gross value added
2011,percentage,22.6,,,,manufacturing gross value added as a proportion of total gross value added
2012,percentage,22.5,,,,manufacturing gross value added as a proportion of total gross value added
2013,percentage,22.2,,,,manufacturing gross value added as a proportion of total gross value added
2014,percentage,22.6,,,,manufacturing gross value added as a proportion of total gross value added
2015,percentage,22.6,,,,manufacturing gross value added as a proportion of total gross value added
2016,percentage,22.9,,,,manufacturing gross value added as a proportion of total gross value added
2017,percentage,22.6,,,,manufacturing gross value added as a proportion of total gross value added
2018,percentage,22.2,,,,manufacturing gross value added as a proportion of total gross value added
2019,percentage,21.7,,,,manufacturing gross value added as a proportion of total gross value added
2020,percentage,20.7,,,,manufacturing gross value added as a proportion of total gross value added
2021,percentage,20.9,p,,,manufacturing gross value added as a proportion of total gross value added
2022,percentage,20.3,p,,,manufacturing gross value added as a proportion of total gross value added
2023,percentage,20.3,p,,,manufacturing gross value added as a proportion of total gross value added
2024,percentage,19.7,p,,,manufacturing gross value added as a proportion of total gross value added
2010,eur,6332,,,,manufacturing gross value added per capita
2011,eur,6892,,,,manufacturing gross value added per capita
2012,eur,6984,,,,manufacturing gross value added per capita
2013,eur,7028,,,,manufacturing gross value added per capita
2014,eur,7416,,,,manufacturing gross value added per capita
2015,eur,7612,,,,manufacturing gross value added per capita
2016,eur,7931,,,,manufacturing gross value added per capita
2017,eur,8141,,,,manufacturing gross value added per capita
2018,eur,8222,,,,manufacturing gross value added per capita
2019,eur,8240,,,,manufacturing gross value added per capita
2020,eur,7731,,,,manufacturing gross value added per capita
2021,eur,8262,p,,,manufacturing gross value added per capita
2022,eur,8623,p,,,manufacturing gross value added per capita
2023,eur,9180,p,,,manufacturing gross value added per capita
2024,eur,9061,p,,,manufacturing gross value added per capita
