Year,Units,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"per 100,000 inhabitants",,,,,,4.7
2011,"per 100,000 inhabitants",,,,,,5.2
2012,"per 100,000 inhabitants",,,,,,4.8
2013,"per 100,000 inhabitants",,,,,,4.3
2014,"per 100,000 inhabitants",,,,,,4.2
2015,"per 100,000 inhabitants",,,,,,4.2
2016,"per 100,000 inhabitants",,,,,,3.8
2017,"per 100,000 inhabitants",,,,,,3.6
2018,"per 100,000 inhabitants",,,,,,3.7
2019,"per 100,000 inhabitants",,,,,,3.4
2020,"per 100,000 inhabitants",,,,,,3.0
2021,"per 100,000 inhabitants",,,,,,2.8
2022,"per 100,000 inhabitants",,,,,,3.1
2023,"per 100,000 inhabitants",,,,,,3.0
2024,"per 100,000 inhabitants",,,,,,3.2
2010,"per 100,000 inhabitants",14 years and younger,,,,,0.9
2011,"per 100,000 inhabitants",14 years and younger,,,,,0.8
2012,"per 100,000 inhabitants",14 years and younger,,,,,0.7
2013,"per 100,000 inhabitants",14 years and younger,,,,,0.5
2014,"per 100,000 inhabitants",14 years and younger,,,,,0.7
2015,"per 100,000 inhabitants",14 years and younger,,,,,0.6
2016,"per 100,000 inhabitants",14 years and younger,,,,,0.6
2017,"per 100,000 inhabitants",14 years and younger,,,,,0.4
2018,"per 100,000 inhabitants",14 years and younger,,,,,0.5
2019,"per 100,000 inhabitants",14 years and younger,,,,,0.4
2020,"per 100,000 inhabitants",14 years and younger,,,,,0.3
2021,"per 100,000 inhabitants",14 years and younger,,,,,0.3
2022,"per 100,000 inhabitants",14 years and younger,,,,,0.4
2023,"per 100,000 inhabitants",14 years and younger,,,,,0.2
2024,"per 100,000 inhabitants",14 years and younger,,r,,,0.4
2010,"per 100,000 inhabitants",15 to under 25 years,,,,,8.7
2011,"per 100,000 inhabitants",15 to under 25 years,,,,,9.6
2012,"per 100,000 inhabitants",15 to under 25 years,,,,,8.6
2013,"per 100,000 inhabitants",15 to under 25 years,,,,,6.7
2014,"per 100,000 inhabitants",15 to under 25 years,,,,,6.8
