Year,Units,time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,commitments (oda),…,,,
2011,million eur,commitments (oda),…,,,
2012,million eur,commitments (oda),…,,,
2013,million eur,commitments (oda),…,,,
2014,million eur,commitments (oda),…,,,
2015,million eur,commitments (oda),…,,,
2016,million eur,commitments (oda),…,,,
2017,million eur,commitments (oda),…,,,
2018,million eur,commitments (oda),…,,,
2019,million eur,commitments (oda),…,,,
2020,million eur,commitments (oda),,,,8614
2021,million eur,commitments (oda),,,,8756
2022,million eur,commitments (oda),,,,9206
2023,million eur,commitments (oda),,,,8967
2010,million eur,gross disbursements (oda),…,,,
2011,million eur,gross disbursements (oda),…,,,
2012,million eur,gross disbursements (oda),…,,,
2013,million eur,gross disbursements (oda),…,,,
2014,million eur,gross disbursements (oda),…,,,
2015,million eur,gross disbursements (oda),…,,,
2016,million eur,gross disbursements (oda),…,,,
2017,million eur,gross disbursements (oda),…,,,
2018,million eur,gross disbursements (oda),…,,,
2019,million eur,gross disbursements (oda),…,,,
2020,million eur,gross disbursements (oda),,,,58297
2021,million eur,gross disbursements (oda),,,,54734
2022,million eur,gross disbursements (oda),,,,52686
2023,million eur,gross disbursements (oda),,,,57060
2010,"million usd, constant prices (2023)",commitments (oda),…,,,
2011,"million usd, constant prices (2023)",commitments (oda),…,,,
2012,"million usd, constant prices (2023)",commitments (oda),…,,,
2013,"million usd, constant prices (2023)",commitments (oda),…,,,
2014,"million usd, constant prices (2023)",commitments (oda),…,,,
2015,"million usd, constant prices (2023)",commitments (oda),…,,,
2016,"million usd, constant prices (2023)",commitments (oda),…,,,
2017,"million usd, constant prices (2023)",commitments (oda),…,,,
2018,"million usd, constant prices (2023)",commitments (oda),…,,,
2019,"million usd, constant prices (2023)",commitments (oda),…,,,
2020,"million usd, constant prices (2023)",commitments (oda),,,,34896
2021,"million usd, constant prices (2023)",commitments (oda),,,,41038
2022,"million usd, constant prices (2023)",commitments (oda),,,,45861
2023,"million usd, constant prices (2023)",commitments (oda),,,,43418
2010,"million usd, constant prices (2023)",gross disbursements (oda),…,,,
2011,"million usd, constant prices (2023)",gross disbursements (oda),…,,,
2012,"million usd, constant prices (2023)",gross disbursements (oda),…,,,
2013,"million usd, constant prices (2023)",gross disbursements (oda),…,,,
2014,"million usd, constant prices (2023)",gross disbursements (oda),…,,,
2015,"million usd, constant prices (2023)",gross disbursements (oda),…,,,
2016,"million usd, constant prices (2023)",gross disbursements (oda),…,,,
2017,"million usd, constant prices (2023)",gross disbursements (oda),…,,,
2018,"million usd, constant prices (2023)",gross disbursements (oda),…,,,
2019,"million usd, constant prices (2023)",gross disbursements (oda),…,,,
2020,"million usd, constant prices (2023)",gross disbursements (oda),,,,81779
2021,"million usd, constant prices (2023)",gross disbursements (oda),,,,79189
2022,"million usd, constant prices (2023)",gross disbursements (oda),,,,88512
2023,"million usd, constant prices (2023)",gross disbursements (oda),,,,84618
