Year,economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,accommodation for visitors: hotels and similar establishments,.,,,<u>time series of the indicator:</u> employed persons,
2011,accommodation for visitors: hotels and similar establishments,.,,,<u>time series of the indicator:</u> employed persons,
2012,accommodation for visitors: hotels and similar establishments,.,,,<u>time series of the indicator:</u> employed persons,
2013,accommodation for visitors: hotels and similar establishments,.,,,<u>time series of the indicator:</u> employed persons,
2014,accommodation for visitors: hotels and similar establishments,.,,,<u>time series of the indicator:</u> employed persons,
2015,accommodation for visitors: hotels and similar establishments,.,,,<u>time series of the indicator:</u> employed persons,
2016,accommodation for visitors: hotels and similar establishments,.,,,<u>time series of the indicator:</u> employed persons,
2017,accommodation for visitors: hotels and similar establishments,.,,,<u>time series of the indicator:</u> employed persons,
2018,accommodation for visitors: hotels and similar establishments,.,,,<u>time series of the indicator:</u> employed persons,
2019,accommodation for visitors: hotels and similar establishments,.,,,<u>time series of the indicator:</u> employed persons,
2020,accommodation for visitors: hotels and similar establishments,,,,<u>time series of the indicator:</u> employed persons,433154
2021,accommodation for visitors: hotels and similar establishments,,,,<u>time series of the indicator:</u> employed persons,458101
2022,accommodation for visitors: hotels and similar establishments,,,,<u>time series of the indicator:</u> employed persons,493938
2023,accommodation for visitors: hotels and similar establishments,,,,<u>time series of the indicator:</u> employed persons,498001
2010,accommodation for visitors: other,.,,,<u>time series of the indicator:</u> employed persons,
2011,accommodation for visitors: other,.,,,<u>time series of the indicator:</u> employed persons,
2012,accommodation for visitors: other,.,,,<u>time series of the indicator:</u> employed persons,
2013,accommodation for visitors: other,.,,,<u>time series of the indicator:</u> employed persons,
2014,accommodation for visitors: other,.,,,<u>time series of the indicator:</u> employed persons,
2015,accommodation for visitors: other,.,,,<u>time series of the indicator:</u> employed persons,
2016,accommodation for visitors: other,.,,,<u>time series of the indicator:</u> employed persons,
2017,accommodation for visitors: other,.,,,<u>time series of the indicator:</u> employed persons,
2018,accommodation for visitors: other,.,,,<u>time series of the indicator:</u> employed persons,
2019,accommodation for visitors: other,.,,,<u>time series of the indicator:</u> employed persons,
2020,accommodation for visitors: other,,,,<u>time series of the indicator:</u> employed persons,521462
2021,accommodation for visitors: other,,,,<u>time series of the indicator:</u> employed persons,691160
2022,accommodation for visitors: other,,,,<u>time series of the indicator:</u> employed persons,667494
2023,accommodation for visitors: other,,,,<u>time series of the indicator:</u> employed persons,664668
2010,food and beverage serving activities,.,,,<u>time series of the indicator:</u> employed persons,
2011,food and beverage serving activities,.,,,<u>time series of the indicator:</u> employed persons,
2012,food and beverage serving activities,.,,,<u>time series of the indicator:</u> employed persons,
2013,food and beverage serving activities,.,,,<u>time series of the indicator:</u> employed persons,
2014,food and beverage serving activities,.,,,<u>time series of the indicator:</u> employed persons,
2015,food and beverage serving activities,.,,,<u>time series of the indicator:</u> employed persons,
2016,food and beverage serving activities,.,,,<u>time series of the indicator:</u> employed persons,
2017,food and beverage serving activities,.,,,<u>time series of the indicator:</u> employed persons,
2018,food and beverage serving activities,.,,,<u>time series of the indicator:</u> employed persons,
2019,food and beverage serving activities,.,,,<u>time series of the indicator:</u> employed persons,
2020,food and beverage serving activities,,,,<u>time series of the indicator:</u> employed persons,1336699
2021,food and beverage serving activities,,,,<u>time series of the indicator:</u> employed persons,1457238
2022,food and beverage serving activities,,,,<u>time series of the indicator:</u> employed persons,1514878
2023,food and beverage serving activities,,,,<u>time series of the indicator:</u> employed persons,1541245
2022,railway passenger transport,,,,<u>time series of the indicator:</u> employed persons,25222
2023,railway passenger transport,,,,<u>time series of the indicator:</u> employed persons,25745
2010,road passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2011,road passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2012,road passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2013,road passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2014,road passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2015,road passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2016,road passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2017,road passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2018,road passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2019,road passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2020,road passenger transport,,,,<u>time series of the indicator:</u> employed persons,164649
2021,road passenger transport,,,,<u>time series of the indicator:</u> employed persons,186530
2022,road passenger transport,,,,<u>time series of the indicator:</u> employed persons,194485
2023,road passenger transport,,,,<u>time series of the indicator:</u> employed persons,205032
2010,water passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2011,water passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2012,water passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2013,water passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2014,water passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2015,water passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2016,water passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2017,water passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2018,water passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2019,water passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2020,water passenger transport,,,,<u>time series of the indicator:</u> employed persons,8614
2021,water passenger transport,,,,<u>time series of the indicator:</u> employed persons,8756
2022,water passenger transport,,,,<u>time series of the indicator:</u> employed persons,9206
2023,water passenger transport,,,,<u>time series of the indicator:</u> employed persons,8967
2010,air passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2011,air passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2012,air passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2013,air passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2014,air passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2015,air passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2016,air passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2017,air passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2018,air passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2019,air passenger transport,.,,,<u>time series of the indicator:</u> employed persons,
2020,air passenger transport,,,,<u>time series of the indicator:</u> employed persons,58297
2021,air passenger transport,,,,<u>time series of the indicator:</u> employed persons,54734
2022,air passenger transport,,,,<u>time series of the indicator:</u> employed persons,52686
2023,air passenger transport,,,,<u>time series of the indicator:</u> employed persons,57060
2010,transport equipment rental,.,,,<u>time series of the indicator:</u> employed persons,
2011,transport equipment rental,.,,,<u>time series of the indicator:</u> employed persons,
2012,transport equipment rental,.,,,<u>time series of the indicator:</u> employed persons,
2013,transport equipment rental,.,,,<u>time series of the indicator:</u> employed persons,
2014,transport equipment rental,.,,,<u>time series of the indicator:</u> employed persons,
2015,transport equipment rental,.,,,<u>time series of the indicator:</u> employed persons,
2016,transport equipment rental,.,,,<u>time series of the indicator:</u> employed persons,
2017,transport equipment rental,.,,,<u>time series of the indicator:</u> employed persons,
2018,transport equipment rental,.,,,<u>time series of the indicator:</u> employed persons,
2019,transport equipment rental,.,,,<u>time series of the indicator:</u> employed persons,
2020,transport equipment rental,,,,<u>time series of the indicator:</u> employed persons,34896
2021,transport equipment rental,,,,<u>time series of the indicator:</u> employed persons,41038
2022,transport equipment rental,,,,<u>time series of the indicator:</u> employed persons,45861
2023,transport equipment rental,,,,<u>time series of the indicator:</u> employed persons,43418
2010,travel agencies and other reservation service activities,.,,,<u>time series of the indicator:</u> employed persons,
2011,travel agencies and other reservation service activities,.,,,<u>time series of the indicator:</u> employed persons,
2012,travel agencies and other reservation service activities,.,,,<u>time series of the indicator:</u> employed persons,
2013,travel agencies and other reservation service activities,.,,,<u>time series of the indicator:</u> employed persons,
2014,travel agencies and other reservation service activities,.,,,<u>time series of the indicator:</u> employed persons,
2015,travel agencies and other reservation service activities,.,,,<u>time series of the indicator:</u> employed persons,
2016,travel agencies and other reservation service activities,.,,,<u>time series of the indicator:</u> employed persons,
2017,travel agencies and other reservation service activities,.,,,<u>time series of the indicator:</u> employed persons,
2018,travel agencies and other reservation service activities,.,,,<u>time series of the indicator:</u> employed persons,
2019,travel agencies and other reservation service activities,.,,,<u>time series of the indicator:</u> employed persons,
2020,travel agencies and other reservation service activities,,,,<u>time series of the indicator:</u> employed persons,81779
2021,travel agencies and other reservation service activities,,,,<u>time series of the indicator:</u> employed persons,79189
2022,travel agencies and other reservation service activities,,,,<u>time series of the indicator:</u> employed persons,88512
2023,travel agencies and other reservation service activities,,,,<u>time series of the indicator:</u> employed persons,84618
2021,cultural activities,,,,<u>time series of the indicator:</u> employed persons,93922
2022,cultural activities,,,,<u>time series of the indicator:</u> employed persons,104048
2023,cultural activities,,,,<u>time series of the indicator:</u> employed persons,109369
2021,sports and recreational activities,,,,<u>time series of the indicator:</u> employed persons,306401
2022,sports and recreational activities,,,,<u>time series of the indicator:</u> employed persons,320884
2023,sports and recreational activities,,,,<u>time series of the indicator:</u> employed persons,312225
2010,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2011,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2012,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2013,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2014,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2015,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
