Year,Units,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series
2010,million tonnes,1239,,,,domestic material consumption (dmc)
2011,million tonnes,1322,r,,,domestic material consumption (dmc)
2012,million tonnes,1276,r,,,domestic material consumption (dmc)
2013,million tonnes,1276,r,,,domestic material consumption (dmc)
2014,million tonnes,1285,r,,,domestic material consumption (dmc)
2015,million tonnes,1243,r,,,domestic material consumption (dmc)
2016,million tonnes,1259,r,,,domestic material consumption (dmc)
2017,million tonnes,1274,r,,,domestic material consumption (dmc)
2018,million tonnes,12434,r,,,domestic material consumption (dmc)
2019,million tonnes,1191,r,,,domestic material consumption (dmc)
2020,million tonnes,1156,r,,,domestic material consumption (dmc)
2021,million tonnes,1187,r,,,domestic material consumption (dmc)
2022,million tonnes,1140,r,,,domestic material consumption (dmc)
2023,million tonnes,1024,,,,domestic material consumption (dmc)
2010,tonnes per capita,15.4,,,,domestic material consumption (dmc)
2011,tonnes per capita,16.5,,,,domestic material consumption (dmc)
2012,tonnes per capita,15.9,,,,domestic material consumption (dmc)
2013,tonnes per capita,15.8,,,,domestic material consumption (dmc)
2014,tonnes per capita,15.9,,,,domestic material consumption (dmc)
2015,tonnes per capita,15.2,r,,,domestic material consumption (dmc)
2016,tonnes per capita,15.3,r,,,domestic material consumption (dmc)
2017,tonnes per capita,15.4,r,,,domestic material consumption (dmc)
2018,tonnes per capita,14.9,r,,,domestic material consumption (dmc)
2019,tonnes per capita,14.3,r,,,domestic material consumption (dmc)
2020,tonnes per capita,13.9,r,,,domestic material consumption (dmc)
2021,tonnes per capita,14.3,r,,,domestic material consumption (dmc)
2022,tonnes per capita,13.6,,,,domestic material consumption (dmc)
2023,tonnes per capita,12.3,,,,domestic material consumption (dmc)
2010,2020 = 100,119.9,r,,,domestic material consumption per real gdp
2011,2020 = 100,123.2,r,,,domestic material consumption per real gdp
2012,2020 = 100,118.4,r,,,domestic material consumption per real gdp
2013,2020 = 100,118.0,r,,,domestic material consumption per real gdp
2014,2020 = 100,116.3,r,,,domestic material consumption per real gdp
2015,2020 = 100,110.6,,,,domestic material consumption per real gdp
2016,2020 = 100,109.5,,,,domestic material consumption per real gdp
2017,2020 = 100,107.9,r,,,domestic material consumption per real gdp
2018,2020 = 100,103.4,,,,domestic material consumption per real gdp
2019,2020 = 100,98.8,r,,,domestic material consumption per real gdp
2020,2020 = 100,100.0,,,,domestic material consumption per real gdp
2021,2020 = 100,99.0,p,,,domestic material consumption per real gdp
2022,2020 = 100,93.8,p,,,domestic material consumption per real gdp
2023,2020 = 100,84.5,p,,,domestic material consumption per real gdp
