Year,Units,time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,commitments (oda),,,,0.0
2011,million eur,commitments (oda),,,,0.1
2012,million eur,commitments (oda),,,,0.4
2013,million eur,commitments (oda),,,,0.9
2014,million eur,commitments (oda),,,,1.8
2015,million eur,commitments (oda),,,,2.8
2016,million eur,commitments (oda),,,,4.4
2017,million eur,commitments (oda),,,,5.9
2018,million eur,commitments (oda),,,,8.2
2019,million eur,commitments (oda),,,,11.2
2020,million eur,commitments (oda),,,,13.9
2021,million eur,commitments (oda),,,,17.2
2022,million eur,commitments (oda),,,,19.9
2023,million eur,commitments (oda),,,,22.8
2024,million eur,commitments (oda),,,,25.7
2010,"million usd, constant prices (2022)",commitments (oda),,,,10279
2011,"million usd, constant prices (2022)",commitments (oda),,,,11415
2012,"million usd, constant prices (2022)",commitments (oda),,,,11701
2013,"million usd, constant prices (2022)",commitments (oda),,,,11331
2014,"million usd, constant prices (2022)",commitments (oda),,,,12080
2015,"million usd, constant prices (2022)",commitments (oda),,,,12117
2016,"million usd, constant prices (2022)",commitments (oda),,,,12824
2017,"million usd, constant prices (2022)",commitments (oda),,,,13263
2018,"million usd, constant prices (2022)",commitments (oda),,,,14747
2019,"million usd, constant prices (2022)",commitments (oda),,,,15577
2020,"million usd, constant prices (2022)",commitments (oda),,,,16070
2021,"million usd, constant prices (2022)",commitments (oda),,,,14209
2022,"million usd, constant prices (2022)",commitments (oda),p,,,15929
2023,"million usd, constant prices (2022)",commitments (oda),…,,,
2024,"million usd, constant prices (2022)",commitments (oda),…,,,
2010,million eur,gross disbursements (oda),,,,2726
2011,million eur,gross disbursements (oda),,,,3434
2012,million eur,gross disbursements (oda),,,,3716
2013,million eur,gross disbursements (oda),,,,3708
2014,million eur,gross disbursements (oda),,,,3692
2015,million eur,gross disbursements (oda),,,,4051
2016,million eur,gross disbursements (oda),,,,4594
2017,million eur,gross disbursements (oda),,,,4245
2018,million eur,gross disbursements (oda),,,,4625
2019,million eur,gross disbursements (oda),,,,4979
2020,million eur,gross disbursements (oda),,,,5028
2021,million eur,gross disbursements (oda),,,,3589
2022,million eur,gross disbursements (oda),p,,,3902
2023,million eur,gross disbursements (oda),…,,,
2024,million eur,gross disbursements (oda),…,,,
2010,"million usd, constant prices (2022)",gross disbursements (oda),,,,7553
2011,"million usd, constant prices (2022)",gross disbursements (oda),,,,7981
2012,"million usd, constant prices (2022)",gross disbursements (oda),,,,7985
2013,"million usd, constant prices (2022)",gross disbursements (oda),,,,7623
2014,"million usd, constant prices (2022)",gross disbursements (oda),,,,8388
2015,"million usd, constant prices (2022)",gross disbursements (oda),,,,8066
2016,"million usd, constant prices (2022)",gross disbursements (oda),,,,8230
2017,"million usd, constant prices (2022)",gross disbursements (oda),,,,9018
2018,"million usd, constant prices (2022)",gross disbursements (oda),,,,10123
2019,"million usd, constant prices (2022)",gross disbursements (oda),,,,10598
2020,"million usd, constant prices (2022)",gross disbursements (oda),,,,11042
2021,"million usd, constant prices (2022)",gross disbursements (oda),,,,10620
2022,"million usd, constant prices (2022)",gross disbursements (oda),p,,,12026
2023,"million usd, constant prices (2022)",gross disbursements (oda),…,,,
2024,"million usd, constant prices (2022)",gross disbursements (oda),…,,,
