Year,Value,Series
2010,,animal genetic resources (number)
2011,,animal genetic resources (number)
2012,,animal genetic resources (number)
2013,,animal genetic resources (number)
2014,,animal genetic resources (number)
2015,,animal genetic resources (number)
2016,,animal genetic resources (number)
2017,28,animal genetic resources (number)
2018,28,animal genetic resources (number)
2019,28,animal genetic resources (number)
2020,28,animal genetic resources (number)
2021,28,animal genetic resources (number)
2010,,plant genetic resources (number)
2011,,plant genetic resources (number)
2012,,plant genetic resources (number)
2013,,plant genetic resources (number)
2014,174266,plant genetic resources (number)
2015,,plant genetic resources (number)
2016,174405,plant genetic resources (number)
2017,177387,plant genetic resources (number)
2018,179498,plant genetic resources (number)
2019,181637,plant genetic resources (number)
2020,181574,plant genetic resources (number)
2021,182018,plant genetic resources (number)
