Year,Units,sex,age group,form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"per 100,000 inhabitants",,,,,,,0.796
2011,"per 100,000 inhabitants",,,,,,,0.821
2012,"per 100,000 inhabitants",,,,|,,,0.765
2013,"per 100,000 inhabitants",,,,,,,0.749
2014,"per 100,000 inhabitants",,,,,,,0.722
2015,"per 100,000 inhabitants",,,,,,,0.579
2016,"per 100,000 inhabitants",,,,,,,0.652
2017,"per 100,000 inhabitants",,,,,,,0.811
2018,"per 100,000 inhabitants",,,,,,,0.595
2019,"per 100,000 inhabitants",,,,,,,0.566
2020,"per 100,000 inhabitants",,,,,,,0.576
2021,"per 100,000 inhabitants",,,,,,,0.678
2022,"per 100,000 inhabitants",,,,,,,1.796
2023,"per 100,000 inhabitants",,,,|,,,0.724
2024,"per 100,000 inhabitants",,,,,,,0.762
2010,"per 100,000 inhabitants",,,labour exploitation,,,,0.050
2011,"per 100,000 inhabitants",,,labour exploitation,,,,0.039
2012,"per 100,000 inhabitants",,,labour exploitation,|,,,0.017
2013,"per 100,000 inhabitants",,,labour exploitation,,,,0.076
2014,"per 100,000 inhabitants",,,labour exploitation,,,,0.032
2015,"per 100,000 inhabitants",,,labour exploitation,,,,0.067
2016,"per 100,000 inhabitants",,,labour exploitation,,,,0.058
2017,"per 100,000 inhabitants",,,labour exploitation,,,,0.218
2018,"per 100,000 inhabitants",,,labour exploitation,,,,0.076
2019,"per 100,000 inhabitants",,,labour exploitation,,,,0.052
2020,"per 100,000 inhabitants",,,labour exploitation,,,,0.088
2021,"per 100,000 inhabitants",,,labour exploitation,,,,0.177
2022,"per 100,000 inhabitants",,,labour exploitation,,,,1.224
2023,"per 100,000 inhabitants",,,labour exploitation,|,,,0.217
2024,"per 100,000 inhabitants",,,labour exploitation,,,,0.205
2010,"per 100,000 inhabitants",female,,labour exploitation,,,,0.024
2011,"per 100,000 inhabitants",female,,labour exploitation,,,,0.058
2012,"per 100,000 inhabitants",female,,labour exploitation,|,,,0.017
2013,"per 100,000 inhabitants",female,,labour exploitation,,,,0.032
2014,"per 100,000 inhabitants",female,,labour exploitation,,,,0.010
2015,"per 100,000 inhabitants",female,,labour exploitation,,,,0.019
2016,"per 100,000 inhabitants",female,,labour exploitation,,,,0.031
2017,"per 100,000 inhabitants",female,,labour exploitation,,,,0.060
2018,"per 100,000 inhabitants",female,,labour exploitation,,,,0.019
