Year,timeseries,age group,sex,type of physical violence,type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,a) reporting rate for physical violence,,,,,.,,,
2011,a) reporting rate for physical violence,,,,,.,,,
2012,a) reporting rate for physical violence,,,,,.,,,
2013,a) reporting rate for physical violence,,,,,.,,,
2014,a) reporting rate for physical violence,,,,,.,,,
2015,a) reporting rate for physical violence,,,,,.,,,
2016,a) reporting rate for physical violence,,,,,.,,,
2017,a) reporting rate for physical violence,,,,,.,,,
2018,a) reporting rate for physical violence,,,,,.,,,
2019,a) reporting rate for physical violence,,,,,.,,,
2020,a) reporting rate for physical violence,,,,,,,,1.5
2021,a) reporting rate for physical violence,,,,,…,,,
2022,a) reporting rate for physical violence,,,,,…,,,
2023,a) reporting rate for physical violence,,,,,…,,,
2010,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2011,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2012,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2013,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2014,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2015,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2016,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2017,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2018,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2019,a) reporting rate for physical violence,16 to under 25 years,,,,.,,,
2020,a) reporting rate for physical violence,16 to under 25 years,,,,,,,0.2
2021,a) reporting rate for physical violence,16 to under 25 years,,,,…,,,
2022,a) reporting rate for physical violence,16 to under 25 years,,,,…,,,
2023,a) reporting rate for physical violence,16 to under 25 years,,,,…,,,
2010,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2011,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2012,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2013,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2014,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2015,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2016,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2017,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2018,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2019,a) reporting rate for physical violence,25 to under 35 years,,,,.,,,
2020,a) reporting rate for physical violence,25 to under 35 years,,,,,,,44.6
2021,a) reporting rate for physical violence,25 to under 35 years,,,,…,,,
2022,a) reporting rate for physical violence,25 to under 35 years,,,,…,,,
2023,a) reporting rate for physical violence,25 to under 35 years,,,,…,,,
2010,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2011,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2012,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2013,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2014,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2015,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2016,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2017,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2018,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2019,a) reporting rate for physical violence,35 to under 45 years,,,,.,,,
2020,a) reporting rate for physical violence,35 to under 45 years,,,,,,,51.5
2021,a) reporting rate for physical violence,35 to under 45 years,,,,…,,,
