Year,type of account,Value
2010,,
2011,,
2012,,
2013,,
2014,,145480
2015,,148138
2016,,150897
2017,,151388
2018,,153212
2019,,154856
2010,online accounts,
2011,online accounts,
2012,online accounts,
2013,online accounts,
2014,online accounts,78631
2015,online accounts,81488
2016,online accounts,85985
2017,online accounts,89351
2018,online accounts,93542
2019,online accounts,97975
2010,current accounts,94982
2011,current accounts,95684
2012,current accounts,96858
2013,current accounts,98512
2014,current accounts,99875
2015,current accounts,101661
2016,current accounts,103844
2017,current accounts,103876
2018,current accounts,105955
2019,current accounts,107791
