Year,economic activity,Value,COMMENT_OBS_0
2010,agriculture,91.5,r
2011,agriculture,92.0,r
2012,agriculture,90.6,r
2013,agriculture,89.2,r
2014,agriculture,101.0,r
2015,agriculture,85.9,r
2016,agriculture,90.6,r
2017,agriculture,98.2,r
2018,agriculture,80.8,r
2019,agriculture,94.0,r
2020,agriculture,100.0,
2021,agriculture,115.7,p
2022,agriculture,115.3,p
2010,forestry,106.9,r
2011,forestry,134.7,r
2012,forestry,153.7,r
2013,forestry,155.5,r
2014,forestry,161.8,r
2015,forestry,167.8,r
2016,forestry,181.5,r
2017,forestry,182.0,r
2018,forestry,209.3,r
2019,forestry,171.4,r
2020,forestry,100.0,
2021,forestry,124.0,p
2022,forestry,177.0,p
