Year,treatment,type of waste water,Value
2010,,,100
2011,,,100
2012,,,100
2013,,,100
2014,,,100
2015,,,100
2016,,,100
2017,,,100
2018,,,100
2019,,,100
2020,,,100
2010,untreated wastewater that does not have to undergo treatment,,72.7
2011,untreated wastewater that does not have to undergo treatment,,
2012,untreated wastewater that does not have to undergo treatment,,
2013,untreated wastewater that does not have to undergo treatment,,65.8
2014,untreated wastewater that does not have to undergo treatment,,
2015,untreated wastewater that does not have to undergo treatment,,
2016,untreated wastewater that does not have to undergo treatment,,65.4
2017,untreated wastewater that does not have to undergo treatment,,
2018,untreated wastewater that does not have to undergo treatment,,
2019,untreated wastewater that does not have to undergo treatment,,
2020,untreated wastewater that does not have to undergo treatment,,
2010,untreated wastewater that does not have to undergo treatment,cooling water,68.3
2011,untreated wastewater that does not have to undergo treatment,cooling water,
2012,untreated wastewater that does not have to undergo treatment,cooling water,
2013,untreated wastewater that does not have to undergo treatment,cooling water,60.3
2014,untreated wastewater that does not have to undergo treatment,cooling water,
2015,untreated wastewater that does not have to undergo treatment,cooling water,
2016,untreated wastewater that does not have to undergo treatment,cooling water,59.7
2017,untreated wastewater that does not have to undergo treatment,cooling water,
2018,untreated wastewater that does not have to undergo treatment,cooling water,
2019,untreated wastewater that does not have to undergo treatment,cooling water,
2020,untreated wastewater that does not have to undergo treatment,cooling water,
2010,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,4.4
2011,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,
2012,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,
2013,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,5.5
2014,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,
2015,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,
2016,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,5.7
2017,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,
2018,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,
2019,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,
2020,untreated wastewater that does not have to undergo treatment,other wastewater that does not have to undergo treatment,
