Year,Units,type of biomass,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series
2010,million tonnes carbon,,1571.0,,,,above-ground biomass stock in forest
2011,million tonnes carbon,,1584.9,,,,above-ground biomass stock in forest
2012,million tonnes carbon,,1598.2,,,,above-ground biomass stock in forest
2013,million tonnes carbon,,1611.9,,,,above-ground biomass stock in forest
2014,million tonnes carbon,,1636.5,,,,above-ground biomass stock in forest
2015,million tonnes carbon,,1644.4,r,,,above-ground biomass stock in forest
2016,million tonnes carbon,,1653.5,r,,,above-ground biomass stock in forest
2017,million tonnes carbon,,1661.7,r,,,above-ground biomass stock in forest
2018,million tonnes carbon,,1666.8,r,,,above-ground biomass stock in forest
2019,million tonnes carbon,,1671.3,r,,,above-ground biomass stock in forest
2020,million tonnes carbon,,1672.9,r,,,above-ground biomass stock in forest
2021,million tonnes carbon,,1673.4,r,,,above-ground biomass stock in forest
2022,million tonnes carbon,,1675.7,,,,above-ground biomass stock in forest
2010,percentage,,,.,,,forest area located within protected areas
2011,percentage,,,.,,,forest area located within protected areas
2012,percentage,,0.7,,,,forest area located within protected areas
2013,percentage,,,.,,,forest area located within protected areas
2014,percentage,,,.,,,forest area located within protected areas
2015,percentage,,0.5,r,,,forest area located within protected areas
2016,percentage,,,.,,,forest area located within protected areas
2017,percentage,,,.,,,forest area located within protected areas
2018,percentage,,0.6,r,,,forest area located within protected areas
2019,percentage,,,.,,,forest area located within protected areas
2020,percentage,,,.,,,forest area located within protected areas
2021,percentage,,0.6,,,,forest area located within protected areas
2010,percentage,,0.1,,,,forest area net change rate
2011,percentage,,1.0,r,,,forest area net change rate
2012,percentage,,0.1,r,,,forest area net change rate
2013,percentage,,0.2,r,,,forest area net change rate
2014,percentage,,0.2,,,,forest area net change rate
2015,percentage,,0.2,,,,forest area net change rate
2016,percentage,,0.3,|,r,,forest area net change rate
2017,percentage,,0.4,r,,,forest area net change rate
2018,percentage,,0.3,r,,,forest area net change rate
2019,percentage,,0.1,r,,,forest area net change rate
2020,percentage,,0.1,,,,forest area net change rate
2021,percentage,,0.1,,,,forest area net change rate
2022,percentage,,0.2,,,,forest area net change rate
2023,percentage,,0.2,,,,forest area net change rate
2010,percentage,,67.5,,,,forest area under an independently verified forest management certification scheme
2011,percentage,,67.2,,,,forest area under an independently verified forest management certification scheme
2012,percentage,,66.9,,,,forest area under an independently verified forest management certification scheme
2013,percentage,,66.9,,,,forest area under an independently verified forest management certification scheme
2014,percentage,,66.6,,,,forest area under an independently verified forest management certification scheme
2015,percentage,,66.2,,,,forest area under an independently verified forest management certification scheme
2016,percentage,,66.9,r,,,forest area under an independently verified forest management certification scheme
2017,percentage,,67.2,,,,forest area under an independently verified forest management certification scheme
2018,percentage,,68.6,,,,forest area under an independently verified forest management certification scheme
2019,percentage,,69.1,,,,forest area under an independently verified forest management certification scheme
2020,percentage,,73.9,,,,forest area under an independently verified forest management certification scheme
2021,percentage,,79.2,,,,forest area under an independently verified forest management certification scheme
2022,percentage,,79.4,,,,forest area under an independently verified forest management certification scheme
2023,percentage,,79.4,,,,forest area under an independently verified forest management certification scheme
2010,million tonnes carbon,standig wood,1075.0,,,,above-ground biomass stock in forest
2011,million tonnes carbon,standig wood,1084.6,,,,above-ground biomass stock in forest
2012,million tonnes carbon,standig wood,1093.7,,,,above-ground biomass stock in forest
2013,million tonnes carbon,standig wood,1103.1,,,,above-ground biomass stock in forest
2014,million tonnes carbon,standig wood,890.0,,,,above-ground biomass stock in forest
2015,million tonnes carbon,standig wood,894.6,r,,,above-ground biomass stock in forest
2016,million tonnes carbon,standig wood,899.8,r,,,above-ground biomass stock in forest
2017,million tonnes carbon,standig wood,904.5,r,,,above-ground biomass stock in forest
2018,million tonnes carbon,standig wood,907.6,r,,,above-ground biomass stock in forest
2019,million tonnes carbon,standig wood,910.4,r,,,above-ground biomass stock in forest
2020,million tonnes carbon,standig wood,911.7,r,,,above-ground biomass stock in forest
2021,million tonnes carbon,standig wood,912.4,r,,,above-ground biomass stock in forest
2022,million tonnes carbon,standig wood,914.0,,,,above-ground biomass stock in forest
2010,million tonnes carbon,other woody biomass,252.2,,,,above-ground biomass stock in forest
2011,million tonnes carbon,other woody biomass,254.4,,,,above-ground biomass stock in forest
2012,million tonnes carbon,other woody biomass,256.6,,,,above-ground biomass stock in forest
2013,million tonnes carbon,other woody biomass,258.8,,,,above-ground biomass stock in forest
2014,million tonnes carbon,other woody biomass,492.6,r,,,above-ground biomass stock in forest
2015,million tonnes carbon,other woody biomass,494.7,r,,,above-ground biomass stock in forest
2016,million tonnes carbon,other woody biomass,497.2,r,,,above-ground biomass stock in forest
2017,million tonnes carbon,other woody biomass,499.4,r,,,above-ground biomass stock in forest
2018,million tonnes carbon,other woody biomass,500.6,r,,,above-ground biomass stock in forest
2019,million tonnes carbon,other woody biomass,501.6,r,,,above-ground biomass stock in forest
2020,million tonnes carbon,other woody biomass,501.7,r,,,above-ground biomass stock in forest
2021,million tonnes carbon,other woody biomass,501.4,r,,,above-ground biomass stock in forest
2022,million tonnes carbon,other woody biomass,501.7,,,,above-ground biomass stock in forest
2010,million tonnes carbon,other biomass in forests,243.8,,,,above-ground biomass stock in forest
2011,million tonnes carbon,other biomass in forests,246.0,,,,above-ground biomass stock in forest
2012,million tonnes carbon,other biomass in forests,248.0,,,,above-ground biomass stock in forest
2013,million tonnes carbon,other biomass in forests,250.0,,,,above-ground biomass stock in forest
2014,million tonnes carbon,other biomass in forests,253.9,r,,,above-ground biomass stock in forest
2015,million tonnes carbon,other biomass in forests,255.1,r,,,above-ground biomass stock in forest
2016,million tonnes carbon,other biomass in forests,256.5,r,,,above-ground biomass stock in forest
2017,million tonnes carbon,other biomass in forests,257.8,r,,,above-ground biomass stock in forest
2018,million tonnes carbon,other biomass in forests,258.6,r,,,above-ground biomass stock in forest
2019,million tonnes carbon,other biomass in forests,259.3,r,,,above-ground biomass stock in forest
2020,million tonnes carbon,other biomass in forests,259.5,r,,,above-ground biomass stock in forest
2021,million tonnes carbon,other biomass in forests,259.6,r,,,above-ground biomass stock in forest
2022,million tonnes carbon,other biomass in forests,260.0,,,,above-ground biomass stock in forest
