Year,Units,Series,Value
2010,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2011,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2012,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2013,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2014,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2015,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2016,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2017,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2018,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2019,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2020,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2021,,contractingparties to the international treaty on plant genetic resources for food and agriculture,1.0
2010,,parties to the nagoya protocol,
2011,,parties to the nagoya protocol,
2012,,parties to the nagoya protocol,
2013,,parties to the nagoya protocol,
2014,,parties to the nagoya protocol,
2015,,parties to the nagoya protocol,
2016,,parties to the nagoya protocol,1.0
2017,,parties to the nagoya protocol,1.0
2018,,parties to the nagoya protocol,1.0
2019,,parties to the nagoya protocol,1.0
2020,,parties to the nagoya protocol,1.0
2021,,parties to the nagoya protocol,1.0
2010,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",
2011,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",
2012,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",
2013,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",
2014,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",
2015,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",
2016,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",1.0
2017,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",1.0
2018,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",1.0
2019,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",1.0
2020,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",1.0
2021,,"countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance  of the international treaty on plant genetic resources for food and agriculture",1.0
2010,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2011,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2012,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2013,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2014,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2015,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2016,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2017,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2018,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2019,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2020,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",1.0
2021,,"countries that have legislative, administrative and policy framework or measures reported to the access and benefit-sharing clearing-house",
2010,number,number of standard material transfer agreements (smtas),
2011,number,number of standard material transfer agreements (smtas),
2012,number,number of standard material transfer agreements (smtas),3898.0
2013,number,number of standard material transfer agreements (smtas),5012.0
2014,number,number of standard material transfer agreements (smtas),6068.0
2015,number,number of standard material transfer agreements (smtas),7292.0
2016,number,number of standard material transfer agreements (smtas),8347.0
2017,number,number of standard material transfer agreements (smtas),8728.0
2018,number,number of standard material transfer agreements (smtas),9120.0
2019,number,number of standard material transfer agreements (smtas),9476.0
2020,number,number of standard material transfer agreements (smtas),9673.0
2021,number,number of standard material transfer agreements (smtas),
