Year,Value,Units,Series
2010,,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2011,,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2012,,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2013,113.0,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2014,112.2,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2015,83.25,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2016,60.5,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2017,63.0,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2018,62.0,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2019,57.0,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2020,55.5,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2021,43.5,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2022,57.5,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2023,45.5,number of pieces of platic waste per 100 meters of beach length,plastic waste on the beaches of the german north sea coast
2010,61.6,Percentage,plastic particles in fulmar stomachs
2011,61.4,Percentage,plastic particles in fulmar stomachs
2012,56.6,Percentage,plastic particles in fulmar stomachs
2013,56.4,Percentage,plastic particles in fulmar stomachs
2014,59.5,Percentage,plastic particles in fulmar stomachs
2015,59.0,Percentage,plastic particles in fulmar stomachs
2016,59.1,Percentage,plastic particles in fulmar stomachs
2017,58.9,Percentage,plastic particles in fulmar stomachs
2018,55.8,Percentage,plastic particles in fulmar stomachs
2019,51.2,Percentage,plastic particles in fulmar stomachs
2020,50.0,Percentage,plastic particles in fulmar stomachs
2021,48.5,Percentage,plastic particles in fulmar stomachs
