Year,Zeitreihe,COMMENT_OBS,Value
2010,,Schatzung,95.3
2011,,,94.5
2012,,Schatzung,94.8
2013,,Schatzung,95.1
2014,,Schatzung,95.1
2015,,Schatzung,95.6
2016,,Schatzung,95.1
2017,,Schatzung,94.9
2018,,Schatzung,95.4
2019,,,96.1
2020,,Schatzung,96.4
2021,,Schatzung,94.9
2022,,Schatzung,94.7
2023,,Schatzung,95.0
2010,Bevölkerung mit Krankenversicherungsschutz,,
2011,Bevölkerung mit Krankenversicherungsschutz,,99.8
2012,Bevölkerung mit Krankenversicherungsschutz,,
2013,Bevölkerung mit Krankenversicherungsschutz,,
2014,Bevölkerung mit Krankenversicherungsschutz,,
2015,Bevölkerung mit Krankenversicherungsschutz,,99.9
2016,Bevölkerung mit Krankenversicherungsschutz,,
2017,Bevölkerung mit Krankenversicherungsschutz,,
2018,Bevölkerung mit Krankenversicherungsschutz,,
2019,Bevölkerung mit Krankenversicherungsschutz,,99.9
2020,Bevölkerung mit Krankenversicherungsschutz,,
2021,Bevölkerung mit Krankenversicherungsschutz,,
2022,Bevölkerung mit Krankenversicherungsschutz,,
2023,Bevölkerung mit Krankenversicherungsschutz,,
2010,Arbeitslose Leistungsbezieher,Schatzung,95.3
2011,Arbeitslose Leistungsbezieher,Schatzung,94.5
2012,Arbeitslose Leistungsbezieher,Schatzung,94.8
2013,Arbeitslose Leistungsbezieher,Schatzung,95.1
2014,Arbeitslose Leistungsbezieher,Schatzung,95.1
2015,Arbeitslose Leistungsbezieher,Schatzung,95.6
2016,Arbeitslose Leistungsbezieher,Schatzung,95.1
2017,Arbeitslose Leistungsbezieher,Schatzung,94.9
2018,Arbeitslose Leistungsbezieher,Schatzung,95.4
2019,Arbeitslose Leistungsbezieher,Schatzung,96.1
2020,Arbeitslose Leistungsbezieher,Schatzung,96.4
2021,Arbeitslose Leistungsbezieher,Schatzung,94.9
2022,Arbeitslose Leistungsbezieher,Schatzung,94.7
2023,Arbeitslose Leistungsbezieher,Schatzung,95.0
